id_bien,no_voie,type_voie,voie,b_t_q,type_bien,nb_piece,surface,id_commune
0,347,RUE,DU CHATEAU,,Appartement,3,48,01103
1,4,BD,EDOUARD BAUDOIN,,Appartement,1,40,06004
2,20,RUE,MARCEAU,B,Appartement,3,82,06088
3,550,RTE,DES VESPINS RN7,,Appartement,1,27,06123
4,9300,RES,LES ARPEGES BD DES ABA,,Appartement,2,47,13005
5,27,RUE,DU GRAND MADIER,,Appartement,1,24,13028
6,360,AV,DU PRADO,,Appartement,3,70,13208
7,5076,PARC,DESSUARD,F,Appartement,3,66,13212
8,1194,RUE,DE NORMANDIE,,Appartement,1,19,14338
9,30,ALL,DES NOISETIERS,,Maison,4,99,14366
10,11,RUE,ROUGET DE L ISLE,,Appartement,2,34,17300
11,13,RUE,BERTHE MORISOT,,Maison,5,100,25056
12,1,RUE,DU POHER,,Appartement,1,31,29232
13,2,RUE,DES JARDINS,,Appartement,3,67,29260
14,5,AV,DU COMMANDANT TAILLANDIER,,Appartement,2,46,31555
15,15,RUE,PAUL DENUCE,,Appartement,1,27,33063
16,176,RUE,SAINTE CATHERINE,,Appartement,1,12,33063
17,822,,LA BAYNASSE SUD,G,Appartement,2,29,33097
18,9,RUE,DE BELFORT,,Appartement,2,51,33449
19,183,RUE,MARC ANTOINE MENARD,,Appartement,1,18,34145
20,50,AV,ANDRE CHASSEFIERE,,Appartement,2,51,34150
21,8,PL,DES ETATS DU LANGUEDOC,,Appartement,3,85,34199
22,7,RUE,JEAN-JACQUES ROUSSEAU,,Maison,4,89,37156
23,197,AV,DE GRAMMONT,,Appartement,2,46,37261
24,48,BD,MAL FOCH,,Appartement,4,77,38185
25,210,RTE,DU TAILLEUR,,Maison,3,53,40266
26,199,RES,MER ET GOLF-LE BOUCANIER,,Appartement,2,48,40328
27,3,ALL,JEAN PERRIN,,Appartement,2,45,44143
28,12,RUE,FERDINAND BUISSON,,Appartement,2,48,44184
29,35,AV,DE CHAMPAGNE,,Appartement,4,79,51230
30,26,RUE,MESSIER,,Appartement,2,39,54395
31,5794,,GOLF SAINT LAURENT,,Appartement,3,44,56161
32,5,RUE,DE PRUNEVEAUX,,Appartement,4,124,58194
33,118,BD,DU GENERAL DE GAULLE,,Appartement,3,71,59512
34,247,RUE,DE NOTRE DAME DU THIL,,Appartement,2,48,60057
35,34,RUE,DE LA VILLE,,Appartement,1,18,60155
36,15,SQ,JEAN BAPTISTE CLEMENT,,Appartement,5,97,60159
37,84,AV,JEAN JAURES,,Appartement,1,32,60524
38,54,RUE,DE LA BUSSIERE,,Appartement,2,51,69149
39,15,RUE,ARTAUD,,Appartement,1,20,69384
40,1,AV,D ABONDANCE,,Appartement,2,33,74119
41,950,AV,DU MONT D ARBOIS,,Appartement,2,39,74236
42,110,RTE,DE LA TELECABINE,,Appartement,1,20,74238
43,2308,AV,DES VALLEES,,Appartement,4,88,74278
44,22,BD,SAINT MARCEL,,Appartement,2,41,75105
45,45,BD,DE MAGENTA,,Appartement,2,32,75110
46,14,AV,DE LA REPUBLIQUE,,Appartement,4,120,75111
47,160,RUE,SAINT MAUR,,Appartement,2,28,75111
48,11,RUE,DU MOULIN JOLY,,Appartement,2,28,75111
49,36,RUE,ERARD,,Appartement,2,41,75112
50,220,RUE,DE CHARENTON,,Appartement,3,51,75112
51,17,RUE,D AUSTERLITZ,,Appartement,1,10,75112
